date,sampler_perf/mean_processing_ms,time_since_restore,timesteps_total,info/grad_time_ms,episode_reward_mean,experiment_id,training_iteration,timesteps_since_restore,iterations_since_restore,info/num_steps_trained,info/opt_peak_throughput,info/update_time_ms,hostname,info/sample_peak_throughput,sampler_perf/mean_inference_ms,timestamp,pid,info/sample_time_ms,episodes_total,time_total_s,episode_reward_min,episode_len_mean,episode_reward_max,info/opt_samples,time_this_iter_s,sampler_perf/mean_env_wait_ms,timesteps_this_iter,info/num_steps_sampled,node_ip,episodes_this_iter,done
2019-12-18_10-41-04,0.39237800526298855,5.581127882003784,11789,5.002,-254.63846153846154,39256a2dc336482785ed601076b83d42,14,11789,14,11789,168842.066,0.001,zack-XPS-15-9560,2262.664,0.6693512218676967,1576694464,8675,373.277,39,5.581127882003784,-638.8000000000004,70.56410256410257,381.39999999999895,844.6,0.3854100704193115,1.0806576360826259,901,11789,10.142.78.137,3,False
2019-12-18_10-41-05,0.38961474866511836,6.1127214431762695,12573,4.996,-257.39285714285705,39256a2dc336482785ed601076b83d42,15,12573,15,12573,170340.375,0.002,zack-XPS-15-9560,2168.627,0.6656383806216107,1576694465,8675,392.46,42,6.1127214431762695,-638.8000000000004,70.57142857142857,381.39999999999895,851.1,0.5315935611724854,1.0762720113639874,784,12573,10.142.78.137,3,False
2019-12-18_10-41-05,0.3871956117044448,6.504964828491211,13457,4.994,-264.5199999999999,39256a2dc336482785ed601076b83d42,16,13457,16,13457,169644.011,0.002,zack-XPS-15-9560,2162.664,0.6621378208683867,1576694465,8675,391.739,45,6.504964828491211,-640.1000000000006,70.5111111111111,381.39999999999895,847.2,0.3922433853149414,1.0725216242041489,884,13457,10.142.78.137,3,False
2019-12-18_10-41-06,0.38500115057284806,6.86525559425354,14251,4.959,-262.4104166666666,39256a2dc336482785ed601076b83d42,17,14251,17,14251,170329.83,0.002,zack-XPS-15-9560,2158.159,0.6589145386267079,1576694466,8675,391.398,48,6.86525559425354,-640.1000000000006,70.8125,381.39999999999895,844.7,0.3602907657623291,1.0686950297016231,794,14251,10.142.78.137,3,False
2019-12-18_10-41-06,0.3836085330759187,7.246740102767944,15135,4.966,-265.30599999999987,39256a2dc336482785ed601076b83d42,18,15135,18,15135,171912.724,0.002,zack-XPS-15-9560,2166.628,0.6568931593758088,1576694466,8675,394.069,50,7.246740102767944,-640.1000000000006,71.12,381.39999999999895,853.8,0.3814845085144043,1.0663448222376934,884,15135,10.142.78.137,2,False
2019-12-18_10-41-06,0.38170112398290235,7.642500162124634,15982,4.86,-263.3471698113207,39256a2dc336482785ed601076b83d42,19,15982,19,15982,173788.829,0.002,zack-XPS-15-9560,2158.777,0.6541088882701102,1576694466,8675,391.286,53,7.642500162124634,-640.1000000000006,71.41509433962264,381.39999999999895,844.7,0.39576005935668945,1.063137754460329,847,15982,10.142.78.137,3,False
2019-12-18_10-41-07,0.38049985713732754,8.027405500411987,16851,4.84,-265.8727272727272,39256a2dc336482785ed601076b83d42,20,16851,20,16851,174280.563,0.002,zack-XPS-15-9560,2176.364,0.6523622528878039,1576694467,8675,387.573,55,8.027405500411987,-640.1000000000006,71.6,381.39999999999895,843.5,0.3849053382873535,1.0611648617268523,869,16851,10.142.78.137,2,False
2019-12-18_10-41-07,0.37886224787320905,8.428489446640015,17781,4.874,-274.57068965517226,39256a2dc336482785ed601076b83d42,21,17781,21,17781,177091.194,0.002,zack-XPS-15-9560,2187.439,0.6498770350866632,1576694467,8675,394.617,58,8.428489446640015,-640.1000000000006,71.75862068965517,381.39999999999895,863.2,0.40108394622802734,1.058568961857009,930,17781,10.142.78.137,3,False
2019-12-18_10-41-08,0.37731510691456377,8.79091739654541,18590,4.922,-272.2918032786884,39256a2dc336482785ed601076b83d42,22,18590,22,18590,174997.168,0.002,zack-XPS-15-9560,2187.63,0.6475638419809404,1576694468,8675,393.714,61,8.79091739654541,-640.1000000000006,71.78688524590164,381.39999999999895,861.3,0.3624279499053955,1.055960437958997,809,18590,10.142.78.137,3,False
2019-12-18_10-41-08,0.3758549708068385,9.158740758895874,19416,4.846,-270.2499999999999,39256a2dc336482785ed601076b83d42,23,19416,23,19416,175972.374,0.002,zack-XPS-15-9560,2181.177,0.6454012653023589,1576694468,8675,390.982,64,9.158740758895874,-640.1000000000006,71.6875,381.39999999999895,852.8,0.36782336235046387,1.0534206907472914,826,19416,10.142.78.137,3,False
