info/grad_time_ms,timesteps_since_restore,timesteps_total,info/num_steps_sampled,time_this_iter_s,pid,info/opt_samples,info/opt_peak_throughput,info/num_steps_trained,info/sample_time_ms,timestamp,episode_reward_mean,sampler_perf/mean_env_wait_ms,episode_reward_min,timesteps_this_iter,sampler_perf/mean_processing_ms,iterations_since_restore,date,episode_reward_max,sampler_perf/mean_inference_ms,done,time_since_restore,episodes_this_iter,time_total_s,info/update_time_ms,info/sample_peak_throughput,node_ip,hostname,training_iteration,experiment_id,episode_len_mean,episodes_total
4.759,11090,11090,11090,0.2691488265991211,13603,788.9,165756.773,11090,264.264,1576697991,-278.7102564102563,0.4874665947363758,-638.5000000000002,837,0.3206912816374518,14,2019-12-18_11-39-51,382.599999999999,0.6272468474048702,False,3.9300343990325928,3,3.9300343990325928,0.001,2985.277,10.142.78.137,zack-XPS-15-9560,14,375b82b8bdcf423982d6b786b701c924,71.02564102564102,39
4.733,11948,11948,11948,0.2765176296234131,13603,791.7,167269.317,11948,264.847,1576697991,-280.0142857142856,0.48627207959120744,-638.5000000000002,858,0.31957107492995174,15,2019-12-18_11-39-51,382.599999999999,0.6239117523313892,False,4.206552028656006,3,4.206552028656006,0.001,2989.276,10.142.78.137,zack-XPS-15-9560,15,375b82b8bdcf423982d6b786b701c924,71.07142857142857,42
4.763,12756,12756,12756,0.2735786437988281,13603,803.2,168625.364,12756,266.426,1576697991,-276.46222222222207,0.4852398314481131,-638.5000000000002,808,0.31857448010816714,16,2019-12-18_11-39-51,382.599999999999,0.6209641426334461,False,4.480130672454834,3,4.480130672454834,0.001,3014.715,10.142.78.137,zack-XPS-15-9560,16,375b82b8bdcf423982d6b786b701c924,70.82222222222222,45
4.742,13583,13583,13583,0.2747204303741455,13603,809.7,170735.197,13583,267.8,1576697991,-273.4812499999999,0.48437715153576866,-638.5000000000002,827,0.3177005380306161,17,2019-12-18_11-39-51,382.599999999999,0.6183067997211152,False,4.7548511028289795,3,4.7548511028289795,0.001,3023.525,10.142.78.137,zack-XPS-15-9560,17,375b82b8bdcf423982d6b786b701c924,70.75,48
4.702,14226,14226,14226,0.23464560508728027,13603,806.1,171436.968,14226,264.321,1576697992,-259.4719999999999,0.48366039229256524,-638.5000000000002,643,0.31704140625854293,18,2019-12-18_11-39-52,382.599999999999,0.6165851926639411,False,4.98949670791626,2,4.98949670791626,0.001,3049.702,10.142.78.137,zack-XPS-15-9560,18,375b82b8bdcf423982d6b786b701c924,70.98,50
4.664,15052,15052,15052,0.2713813781738281,13603,790.9,169566.23,15052,260.478,1576697992,-250.04716981132069,0.48275125259959534,-638.5000000000002,826,0.31614776951844414,19,2019-12-18_11-39-52,382.599999999999,0.6141236419684468,False,5.260878086090088,3,5.260878086090088,0.001,3036.346,10.142.78.137,zack-XPS-15-9560,19,375b82b8bdcf423982d6b786b701c924,70.77358490566037,53
4.705,15881,15881,15881,0.28302907943725586,13603,796.9,169360.137,15881,262.607,1576697992,-252.43749999999991,0.48200281012537866,-638.5000000000002,829,0.31538685599866617,20,2019-12-18_11-39-52,382.599999999999,0.6119381023886259,False,5.543907165527344,3,5.543907165527344,0.001,3034.57,10.142.78.137,zack-XPS-15-9560,20,375b82b8bdcf423982d6b786b701c924,70.78571428571429,56
4.708,16755,16755,16755,0.2822704315185547,13603,803.6,170701.012,16755,264.013,1576697993,-247.92372881355928,0.4813805265027754,-639.9000000000007,874,0.31473018386910995,21,2019-12-18_11-39-53,382.599999999999,0.6099860452449282,False,5.826177597045898,3,5.826177597045898,0.001,3043.794,10.142.78.137,zack-XPS-15-9560,21,375b82b8bdcf423982d6b786b701c924,70.83050847457628,59
4.648,17414,17414,17414,0.2415637969970703,13603,792.3,170471.999,17414,261.246,1576697993,-243.55806451612906,0.4806358003408814,-639.9000000000007,659,0.314039686456615,22,2019-12-18_11-39-53,382.599999999999,0.6081363474146815,False,6.067741394042969,3,6.067741394042969,0.001,3032.774,10.142.78.137,zack-XPS-15-9560,22,375b82b8bdcf423982d6b786b701c924,70.87096774193549,62
4.719,18350,18350,18350,0.29451870918273926,13603,809.7,171596.145,18350,264.935,1576697993,-249.49374999999998,0.4802802870570212,-639.9000000000007,936,0.31363952570253323,23,2019-12-18_11-39-53,382.599999999999,0.6070097263618517,False,6.362260103225708,2,6.362260103225708,0.001,3056.218,10.142.78.137,zack-XPS-15-9560,23,375b82b8bdcf423982d6b786b701c924,70.953125,64
4.688,19143,19143,19143,0.2612581253051758,13603,805.3,171797.333,19143,264.169,1576697993,-242.52089552238803,0.4797549175540846,-639.9000000000007,793,0.31306541420106054,24,2019-12-18_11-39-53,382.599999999999,0.6053750582782234,False,6.623518228530884,3,6.623518228530884,0.001,3048.426,10.142.78.137,zack-XPS-15-9560,24,375b82b8bdcf423982d6b786b701c924,70.77611940298507,67
4.646,19909,19909,19909,0.25688838958740234,13603,796.1,171360.814,19909,262.241,1576697994,-239.0942857142857,0.47922772606802194,-640.0000000000005,766,0.3125115600435139,25,2019-12-18_11-39-54,382.599999999999,0.6038123321285033,False,6.880406618118286,3,6.880406618118286,0.001,3035.763,10.142.78.137,zack-XPS-15-9560,25,375b82b8bdcf423982d6b786b701c924,70.87142857142857,70
4.567,20628,20628,20628,0.2515525817871094,13603,787.2,172369.557,20628,260.107,1576697994,-235.57945205479456,0.47866200987190194,-640.0000000000005,719,0.31195626227729817,26,2019-12-18_11-39-54,382.599999999999,0.602339430744575,False,7.1319591999053955,3,7.1319591999053955,0.001,3026.445,10.142.78.137,zack-XPS-15-9560,26,375b82b8bdcf423982d6b786b701c924,70.64383561643835,73
4.656,21518,21518,21518,0.2936515808105469,13603,793.5,170434.678,21518,261.903,1576697994,-243.31842105263158,0.47823897338185395,-640.0000000000005,890,0.3114836131807462,27,2019-12-18_11-39-54,382.599999999999,0.6009948339352046,False,7.425610780715942,3,7.425610780715942,0.001,3029.746,10.142.78.137,zack-XPS-15-9560,27,375b82b8bdcf423982d6b786b701c924,70.71052631578948,76
4.733,22329,22329,22329,0.27901744842529297,13603,810.3,171199.962,22329,266.257,1576697994,-247.77341772151905,0.4778643719588029,-640.0000000000005,811,0.3110564705360276,28,2019-12-18_11-39-54,382.599999999999,0.5997646359718994,False,7.704628229141235,3,7.704628229141235,0.001,3043.302,10.142.78.137,zack-XPS-15-9560,28,375b82b8bdcf423982d6b786b701c924,70.63291139240506,79
4.672,23106,23106,23106,0.25931525230407715,13603,805.4,172393.874,23106,265.126,1576697995,-247.0317073170732,0.4774886728623167,-640.0000000000005,777,0.310641905769454,29,2019-12-18_11-39-55,382.599999999999,0.5985836286970347,False,7.9639434814453125,3,7.9639434814453125,0.001,3037.799,10.142.78.137,zack-XPS-15-9560,29,375b82b8bdcf423982d6b786b701c924,70.63414634146342,82
4.703,23951,23951,23951,0.2741985321044922,13603,807.0,171604.012,23951,264.206,1576697995,-246.61666666666665,0.47726552127941796,-640.0000000000005,845,0.31039605350276905,30,2019-12-18_11-39-55,382.599999999999,0.5978192509389799,False,8.238142013549805,2,8.238142013549805,0.001,3054.433,10.142.78.137,zack-XPS-15-9560,30,375b82b8bdcf423982d6b786b701c924,70.77380952380952,84
4.717,24798,24798,24798,0.2713508605957031,13603,804.3,170528.432,24798,263.096,1576697995,-250.65172413793104,0.47696401251713444,-640.0000000000005,847,0.31005639306592253,31,2019-12-18_11-39-55,382.599999999999,0.5967058982306833,False,8.509492874145508,3,8.509492874145508,0.001,3057.053,10.142.78.137,zack-XPS-15-9560,31,375b82b8bdcf423982d6b786b701c924,70.82758620689656,87
4.76,25539,25539,25539,0.26198649406433105,13603,812.5,170679.488,25539,265.082,1576697995,-252.07777777777773,0.47664613007768913,-640.0000000000005,741,0.309718600018191,32,2019-12-18_11-39-55,382.599999999999,0.5956657402162959,False,8.771479368209839,3,8.771479368209839,0.001,3065.085,10.142.78.137,zack-XPS-15-9560,32,375b82b8bdcf423982d6b786b701c924,70.85555555555555,90
4.702,26383,26383,26383,0.2710871696472168,13603,803.3,170832.817,26383,262.793,1576697996,-253.5430107526881,0.47635926011135493,-640.0000000000005,844,0.30941196955713696,33,2019-12-18_11-39-56,382.599999999999,0.5946641872575651,False,9.042566537857056,3,9.042566537857056,0.001,3056.776,10.142.78.137,zack-XPS-15-9560,33,375b82b8bdcf423982d6b786b701c924,70.91397849462365,93
4.731,27192,27192,27192,0.27315282821655273,13603,804.9,170147.331,27192,263.949,1576697996,-255.04526315789477,0.4761759271403082,-640.0000000000005,809,0.3092104482258275,34,2019-12-18_11-39-56,382.599999999999,0.5940433779786205,False,9.315719366073608,2,9.315719366073608,0.001,3049.455,10.142.78.137,zack-XPS-15-9560,34,375b82b8bdcf423982d6b786b701c924,70.88421052631578,95
4.821,28030,28030,28030,0.27186155319213867,13603,812.1,168441.696,28030,265.346,1576697996,-258.38775510204084,0.47591934505259503,-640.0000000000005,838,0.30892554265443695,35,2019-12-18_11-39-56,382.599999999999,0.5931472079723362,False,9.587580919265747,3,9.587580919265747,0.001,3060.531,10.142.78.137,zack-XPS-15-9560,35,375b82b8bdcf423982d6b786b701c924,70.81632653061224,98
4.842,28773,28773,28773,0.26232433319091797,13603,814.5,168229.032,28773,266.396,1576697997,-255.53799999999995,0.47465523694634437,-640.0000000000005,743,0.30761238079655734,36,2019-12-18_11-39-57,382.599999999999,0.5896035193922448,False,9.849905252456665,3,9.849905252456665,0.001,3057.475,10.142.78.137,zack-XPS-15-9560,36,375b82b8bdcf423982d6b786b701c924,70.75,101
4.795,29580,29580,29580,0.28482913970947266,13603,806.2,168127.518,29580,265.55,1576697997,-261.758,0.4726065866176835,-640.0000000000005,807,0.30547153340815747,37,2019-12-18_11-39-57,181.9999999999991,0.5834311235166291,False,10.134734392166138,3,10.134734392166138,0.001,3035.963,10.142.78.137,zack-XPS-15-9560,37,375b82b8bdcf423982d6b786b701c924,70.78,104
4.72,30300,30300,30300,0.26514434814453125,13603,797.1,168878.952,30300,264.231,1576697997,-255.60100000000003,0.4713920849803626,-640.0000000000005,720,0.3042022586600514,38,2019-12-18_11-39-57,181.9999999999991,0.5798211139298397,False,10.399878740310669,3,10.399878740310669,0.001,3016.676,10.142.78.137,zack-XPS-15-9560,38,375b82b8bdcf423982d6b786b701c924,70.76,107
4.732,31128,31128,31128,0.2676527500152588,13603,802.2,169510.797,31128,265.044,1576697997,-255.5790000000001,0.4704322775299634,-640.0000000000005,828,0.3033309677758094,39,2019-12-18_11-39-57,181.9999999999991,0.5774135653749503,False,10.667531490325928,3,10.667531490325928,0.001,3026.668,10.142.78.137,zack-XPS-15-9560,39,375b82b8bdcf423982d6b786b701c924,70.56,110
