iterations_since_restore,node_ip,timestamp,date,episode_reward_min,episode_reward_max,hostname,sampler_perf/mean_processing_ms,info/grad_time_ms,info/sample_time_ms,episodes_this_iter,info/num_steps_sampled,info/update_time_ms,pid,sampler_perf/mean_inference_ms,info/opt_peak_throughput,info/sample_peak_throughput,episode_reward_mean,training_iteration,info/opt_samples,episodes_total,experiment_id,done,time_this_iter_s,timesteps_since_restore,info/num_steps_trained,sampler_perf/mean_env_wait_ms,time_since_restore,timesteps_total,timesteps_this_iter,time_total_s,episode_len_mean
13,10.142.78.137,1576701914,2019-12-18_12-45-14,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5390368897906416,7.489,389.172,3,17426,0.001,17248,0.756878684335698,175800.914,3382.824,-488.0628571428582,13,1316.5,35,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.40524864196777344,17426,17426,1.032103828672188,5.561481952667236,17426,1361,5.561481952667236,73.51428571428572
14,10.142.78.137,1576701914,2019-12-18_12-45-14,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5347952930565537,7.488,391.308,3,18757,0.001,17248,0.7486926181029133,176007.478,3367.931,-479.7184210526328,14,1317.9,38,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.41664576530456543,18757,18757,1.0244894363932004,5.978127717971802,18757,1331,5.978127717971802,73.44736842105263
15,10.142.78.137,1576701915,2019-12-18_12-45-15,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5321313280896074,7.485,389.777,2,19982,0.001,17248,0.7437993585111912,174411.39,3349.093,-478.01250000000107,15,1305.4,40,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.38739800453186035,19982,19982,1.0197532586951248,6.365525722503662,19982,1225,6.365525722503662,73.625
16,10.142.78.137,1576701915,2019-12-18_12-45-15,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.528682234181819,7.408,390.129,3,21380,0.001,17248,0.7371250583871225,175357.157,3329.926,-490.11627906976827,16,1299.1,43,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.42033886909484863,21380,21380,1.0135551306552262,6.785864591598511,21380,1398,6.785864591598511,73.95348837209302
17,10.142.78.137,1576701916,2019-12-18_12-45-16,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5266727225795094,7.513,393.906,2,22876,0.001,17248,0.7330946632227242,176135.292,3359.432,-501.9755555555564,17,1323.3,45,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.43624019622802734,22876,22876,1.0101083483784632,7.222104787826538,22876,1496,7.222104787826538,73.91111111111111
18,10.142.78.137,1576701916,2019-12-18_12-45-16,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5239023155292446,7.557,395.896,3,24224,0.001,17248,0.7275549130906702,176271.737,3364.776,-498.70416666666756,18,1332.1,48,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.40126895904541016,24224,24224,1.005304294076018,7.623373746871948,24224,1348,7.623373746871948,74.02083333333333
19,10.142.78.137,1576701916,2019-12-18_12-45-16,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5214348542518644,7.599,397.175,3,25588,0.001,17248,0.7226262851315495,176596.317,3378.614,-487.8784313725501,19,1341.9,51,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.40996336936950684,25588,25588,1.0009560321585294,8.033337116241455,25588,1364,8.033337116241455,73.98039215686275
20,10.142.78.137,1576701917,2019-12-18_12-45-17,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5198983556970701,7.716,401.825,2,26849,0.001,17248,0.7195932317823801,175675.28,3373.359,-490.32452830188777,20,1355.5,53,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.40326833724975586,26849,26849,0.9982733739787966,8.436605453491211,26849,1261,8.436605453491211,74.05660377358491
21,10.142.78.137,1576701917,2019-12-18_12-45-17,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5178727515040342,7.754,405.828,3,28245,0.001,17248,0.7154466243022821,175561.72,3354.381,-491.5696428571438,21,1361.3,56,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4334990978240967,28245,28245,0.994710057781097,8.870104551315308,28245,1396,8.870104551315308,74.19642857142857
22,10.142.78.137,1576701918,2019-12-18_12-45-18,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5160742082445033,7.64,403.812,3,29527,0.001,17248,0.7116704125815252,176215.641,3333.734,-485.8203389830517,22,1346.2,59,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4055204391479492,29527,29527,0.9913704232651219,9.275624990463257,29527,1282,9.275624990463257,74.0
