episodes_this_iter,info/num_steps_sampled,timesteps_this_iter,sampler_perf/mean_processing_ms,episodes_total,iterations_since_restore,episode_reward_mean,timestamp,sampler_perf/mean_env_wait_ms,training_iteration,time_total_s,episode_reward_min,info/opt_samples,info/sample_time_ms,time_this_iter_s,timesteps_since_restore,sampler_perf/mean_inference_ms,pid,time_since_restore,info/num_steps_trained,episode_reward_max,timesteps_total,done,info/grad_time_ms,info/opt_peak_throughput,hostname,info/update_time_ms,date,info/sample_peak_throughput,node_ip,episode_len_mean,experiment_id
2,17190,1308,0.9628908871780104,35,13,-384.19428571428716,1576702746,1.7888348639574365,13,10.828928709030151,-860.0999999999996,1313.0,815.488,0.8451073169708252,17190,1.2889854558776432,17939,10.828928709030151,17190,168.09999999999764,17190,False,14.256,92104.187,zack-XPS-15-9560,0.003,2019-12-18_12-59-06,1610.079,10.142.78.137,72.65714285714286,597e19b796dc436bb6e93311fa9df381
3,18642,1452,0.9636853336685508,38,14,-384.00263157894886,1576702747,1.7929151833184502,14,11.761139631271362,-860.0999999999996,1332.0,830.27,0.9322109222412109,18642,1.2878758842398161,17939,11.761139631271362,18642,168.09999999999764,18642,False,14.529,91676.218,zack-XPS-15-9560,0.003,2019-12-18_12-59-07,1604.297,10.142.78.137,72.71052631578948,597e19b796dc436bb6e93311fa9df381
3,19950,1308,0.9646546371889276,41,15,-378.8048780487821,1576702748,1.7967310334877102,15,12.63922929763794,-860.0999999999996,1319.5,825.955,0.8780896663665771,19950,1.2873348040591903,17939,12.63922929763794,19950,168.09999999999764,19950,False,14.398,91647.691,zack-XPS-15-9560,0.003,2019-12-18_12-59-08,1597.545,10.142.78.137,72.5609756097561,597e19b796dc436bb6e93311fa9df381
3,21364,1414,0.9658798743417026,44,16,-401.69090909091045,1576702748,1.8010805690641976,16,13.56140422821045,-860.0999999999996,1326.3,831.527,0.9221749305725098,21364,1.287326177300585,17939,13.56140422821045,21364,168.09999999999764,21364,False,13.895,95449.397,zack-XPS-15-9560,0.003,2019-12-18_12-59-08,1595.018,10.142.78.137,72.31818181818181,597e19b796dc436bb6e93311fa9df381
2,22560,1196,0.9661749747993369,46,17,-403.5934782608709,1576702749,1.8025733548421503,17,14.244504690170288,-860.0999999999996,1312.5,812.069,0.6831004619598389,22560,1.286807314077203,17939,14.244504690170288,22560,168.09999999999764,22560,False,13.779,95253.342,zack-XPS-15-9560,0.003,2019-12-18_12-59-09,1616.242,10.142.78.137,72.45652173913044,597e19b796dc436bb6e93311fa9df381
3,23812,1252,0.9665693342560434,49,18,-401.99387755102174,1576702750,1.8045742142808383,18,15.089786291122437,-860.0999999999996,1291.0,804.881,0.8452816009521484,23812,1.2863240339983049,17939,15.089786291122437,23812,168.09999999999764,23812,False,13.572,95122.635,zack-XPS-15-9560,0.003,2019-12-18_12-59-10,1603.963,10.142.78.137,72.55102040816327,597e19b796dc436bb6e93311fa9df381
3,25229,1417,0.9673005724031886,52,19,-408.6557692307706,1576702751,1.807109998213387,19,16.013350248336792,-860.0999999999996,1315.7,827.851,0.9235639572143555,25229,1.286055877908126,17939,16.013350248336792,25229,168.09999999999764,25229,False,13.954,94289.211,zack-XPS-15-9560,0.003,2019-12-18_12-59-11,1589.296,10.142.78.137,72.65384615384616,597e19b796dc436bb6e93311fa9df381
3,26591,1362,0.968173363520406,55,20,-403.45636363636515,1576702752,1.809766859067845,20,16.91232919692993,-860.0999999999996,1317.4,831.013,0.8989789485931396,26591,1.2859997041884048,17939,16.91232919692993,26591,168.09999999999764,26591,False,13.953,94415.719,zack-XPS-15-9560,0.003,2019-12-18_12-59-12,1585.294,10.142.78.137,72.47272727272727,597e19b796dc436bb6e93311fa9df381
2,28244,1653,0.9691253230237976,57,21,-419.4140350877206,1576702753,1.8124362273762105,21,17.96695065498352,-861.3000000000003,1360.6,857.331,1.0546214580535889,28244,1.2862295761370264,17939,17.96695065498352,28244,168.09999999999764,28244,False,15.154,89783.58,zack-XPS-15-9560,0.002,2019-12-18_12-59-13,1587.019,10.142.78.137,72.50877192982456,597e19b796dc436bb6e93311fa9df381
3,29457,1213,0.9703980449297919,60,22,-424.261666666668,1576702754,1.8158441276442663,22,18.788349390029907,-862.4000000000003,1357.5,864.624,0.8213987350463867,29457,1.2864969440603233,17939,18.788349390029907,29457,168.09999999999764,29457,False,14.956,90766.552,zack-XPS-15-9560,0.003,2019-12-18_12-59-14,1570.047,10.142.78.137,72.65,597e19b796dc436bb6e93311fa9df381
3,30747,1290,0.9715765331756311,63,23,-415.6904761904776,1576702755,1.818965580524595,23,19.647727489471436,-862.4000000000003,1355.7,866.04,0.8593780994415283,30747,1.2867623858294568,17939,19.647727489471436,30747,168.09999999999764,30747,False,14.938,90756.444,zack-XPS-15-9560,0.003,2019-12-18_12-59-15,1565.402,10.142.78.137,72.63492063492063,597e19b796dc436bb6e93311fa9df381
3,32013,1266,0.9726310147089895,66,24,-414.1409090909105,1576702755,1.821732029197049,24,20.49026870727539,-862.4000000000003,1337.1,857.351,0.8425412178039551,32013,1.2870159154226484,17939,20.49026870727539,32013,168.09999999999764,32013,False,14.636,91358.466,zack-XPS-15-9560,0.003,2019-12-18_12-59-15,1559.57,10.142.78.137,72.6969696969697,597e19b796dc436bb6e93311fa9df381
2,33326,1313,0.9732762997691377,68,25,-421.0176470588249,1576702756,1.8235315955046207,25,21.36040186882019,-862.4000000000003,1337.6,856.655,0.8701331615447998,33326,1.2872029802901706,17939,21.36040186882019,33326,168.09999999999764,33326,False,14.512,92171.904,zack-XPS-15-9560,0.003,2019-12-18_12-59-16,1561.422,10.142.78.137,72.69117647058823,597e19b796dc436bb6e93311fa9df381
3,34699,1373,0.9742520217464791,71,26,-427.77464788732516,1576702757,1.8262580186697963,26,22.25751781463623,-862.4000000000003,1333.5,853.57,0.89711594581604,34699,1.2875337900875674,17939,22.25751781463623,34699,168.09999999999764,34699,False,15.043,88645.341,zack-XPS-15-9560,0.003,2019-12-18_12-59-17,1562.261,10.142.78.137,72.8169014084507,597e19b796dc436bb6e93311fa9df381
3,36141,1442,0.9753265254235278,74,27,-445.04189189189316,1576702758,1.8291003099516612,27,23.1865131855011,-862.4000000000003,1358.1,878.005,0.9289953708648682,36141,1.287883097779329,17939,23.1865131855011,36141,168.09999999999764,36141,False,15.178,89477.273,zack-XPS-15-9560,0.003,2019-12-18_12-59-18,1546.801,10.142.78.137,72.87837837837837,597e19b796dc436bb6e93311fa9df381
2,37440,1299,0.9759794425644028,76,28,-431.73157894736977,1576702759,1.8308613976695518,28,24.04145646095276,-862.4000000000003,1362.8,878.911,0.8549432754516602,37440,1.2881207872805827,17939,24.04145646095276,37440,168.09999999999764,37440,False,15.228,89492.985,zack-XPS-15-9560,0.003,2019-12-18_12-59-19,1550.555,10.142.78.137,72.82894736842105,597e19b796dc436bb6e93311fa9df381
