episodes_total,timesteps_total,time_this_iter_s,info/num_steps_sampled,timesteps_since_restore,iterations_since_restore,episodes_this_iter,sampler_perf/mean_env_wait_ms,info/opt_samples,sampler_perf/mean_processing_ms,time_since_restore,date,training_iteration,info/sample_time_ms,info/num_steps_trained,time_total_s,episode_len_mean,info/opt_peak_throughput,episode_reward_mean,info/grad_time_ms,sampler_perf/mean_inference_ms,episode_reward_max,hostname,info/sample_peak_throughput,info/update_time_ms,timestamp,pid,node_ip,episode_reward_min,timesteps_this_iter,experiment_id,done
36,10590,0.3197298049926758,10590,10590,13,3,0.6918899737087405,817.3,0.3075941612776111,4.176081895828247,2019-12-18_11-10-21,13,311.927,10590,4.176081895828247,70.66666666666667,174638.022,-227.977777777778,4.68,0.5762316052899611,186.19999999999976,zack-XPS-15-9560,2620.164,0.001,1576696221,11562,10.142.78.137,-637.4000000000003,839,c3fc92d7f4874dea9e1921f76f825b97,False
39,11648,0.3919520378112793,11648,11648,14,3,0.6933117685110083,854.8,0.30790402278447676,4.568033933639526,2019-12-18_11-10-22,14,321.711,11648,4.568033933639526,70.7948717948718,176704.11,-249.17948717948735,4.837,0.5755575513440699,186.19999999999976,zack-XPS-15-9560,2657.043,0.001,1576696222,11562,10.142.78.137,-640.2000000000005,1058,c3fc92d7f4874dea9e1921f76f825b97,False
42,12539,0.37683653831481934,12539,12539,15,3,0.6952445857681037,868.1,0.3084487601159295,4.944870471954346,2019-12-18_11-10-22,15,329.287,12539,4.944870471954346,70.85714285714286,175663.14,-257.53571428571445,4.942,0.5752237682680897,186.19999999999976,zack-XPS-15-9560,2636.303,0.001,1576696222,11562,10.142.78.137,-640.2000000000005,891,c3fc92d7f4874dea9e1921f76f825b97,False
45,13307,0.31208300590515137,13307,13307,16,3,0.6967776599958384,856.3,0.3088267693514368,5.256953477859497,2019-12-18_11-10-22,16,327.339,13307,5.256953477859497,70.88888888888889,173639.777,-255.50444444444454,4.931,0.5748419639153223,186.19999999999976,zack-XPS-15-9560,2615.945,0.001,1576696222,11562,10.142.78.137,-640.2000000000005,768,c3fc92d7f4874dea9e1921f76f825b97,False
48,14275,0.35466670989990234,14275,14275,17,3,0.6984975352523489,878.2,0.30929882763606237,5.611620187759399,2019-12-18_11-10-23,17,331.741,14275,5.611620187759399,70.70833333333333,172526.359,-262.39791666666673,5.09,0.5744864361103449,186.19999999999976,zack-XPS-15-9560,2647.246,0.001,1576696223,11562,10.142.78.137,-640.2000000000005,968,c3fc92d7f4874dea9e1921f76f825b97,False
50,15132,0.33463239669799805,15132,15132,18,2,0.6995841033750847,888.3,0.30957379302473664,5.9462525844573975,2019-12-18_11-10-23,18,334.706,15132,5.9462525844573975,70.92,172079.673,-261.1040000000001,5.162,0.5742949165495322,186.19999999999976,zack-XPS-15-9560,2653.972,0.001,1576696223,11562,10.142.78.137,-640.2000000000005,857,c3fc92d7f4874dea9e1921f76f825b97,False
53,15910,0.33939433097839355,15910,15910,19,3,0.7010887127484307,888.7,0.3099857041770795,6.285646915435791,2019-12-18_11-10-23,19,338.02,15910,6.285646915435791,71.18867924528301,172251.832,-266.8981132075473,5.159,0.574131455311079,186.19999999999976,zack-XPS-15-9560,2629.138,0.001,1576696223,11562,10.142.78.137,-640.2000000000005,778,c3fc92d7f4874dea9e1921f76f825b97,False
56,16678,0.300304651260376,16678,16678,20,3,0.7022077719767089,871.8,0.31028518323114657,6.585951566696167,2019-12-18_11-10-24,20,334.094,16678,6.585951566696167,71.21428571428571,172629.06,-261.1964285714287,5.05,0.573901511713511,186.19999999999976,zack-XPS-15-9560,2609.447,0.001,1576696224,11562,10.142.78.137,-640.2000000000005,768,c3fc92d7f4874dea9e1921f76f825b97,False
58,17437,0.29456281661987305,17437,17437,21,2,0.7027559448537114,859.5,0.3103999040616603,6.88051438331604,2019-12-18_11-10-24,21,330.176,17437,6.88051438331604,71.29310344827586,171523.934,-263.57413793103467,5.011,0.5736960054164079,186.19999999999976,zack-XPS-15-9560,2603.157,0.001,1576696224,11562,10.142.78.137,-640.2000000000005,759,c3fc92d7f4874dea9e1921f76f825b97,False
61,18217,0.30725693702697754,18217,18217,22,3,0.7033723059637529,846.6,0.31049913584195254,7.187771320343018,2019-12-18_11-10-24,22,327.643,18217,7.187771320343018,71.04918032786885,169273.346,-248.3016393442625,5.001,0.5733991052225033,186.19999999999976,zack-XPS-15-9560,2583.911,0.001,1576696224,11562,10.142.78.137,-640.2000000000005,780,c3fc92d7f4874dea9e1921f76f825b97,False
64,19031,0.33826422691345215,19031,19031,23,3,0.7040018550166918,844.1,0.3106004472416749,7.52603554725647,2019-12-18_11-10-25,23,329.463,19031,7.52603554725647,71.375,167924.946,-260.1437500000002,5.027,0.573175600559167,186.19999999999976,zack-XPS-15-9560,2562.048,0.001,1576696225,11562,10.142.78.137,-640.2000000000005,814,c3fc92d7f4874dea9e1921f76f825b97,False
67,19727,0.2979145050048828,19727,19727,24,3,0.7043825843890739,807.9,0.3106256478519737,7.8239500522613525,2019-12-18_11-10-25,24,320.214,19727,7.8239500522613525,71.14925373134328,165944.084,-261.52686567164193,4.869,0.572976402189818,186.19999999999976,zack-XPS-15-9560,2523.004,0.001,1576696225,11562,10.142.78.137,-640.2000000000005,696,c3fc92d7f4874dea9e1921f76f825b97,False
70,20547,0.31658053398132324,20547,20547,25,3,0.7046980066100238,800.8,0.3106304802877703,8.140530586242676,2019-12-18_11-10-25,25,314.222,20547,8.140530586242676,71.02857142857142,165860.047,-262.81571428571453,4.828,0.5727734382549665,186.19999999999976,zack-XPS-15-9560,2548.513,0.001,1576696225,11562,10.142.78.137,-640.2000000000005,820,c3fc92d7f4874dea9e1921f76f825b97,False
