timesteps_this_iter,info/opt_peak_throughput,done,episode_reward_max,episode_len_mean,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_env_wait_ms,info/sample_time_ms,info/opt_samples,timesteps_total,hostname,info/num_steps_sampled,info/update_time_ms,timesteps_since_restore,timestamp,training_iteration,episodes_this_iter,time_this_iter_s,iterations_since_restore,episode_reward_min,date,time_total_s,time_since_restore,pid,episode_reward_mean,info/num_steps_trained,experiment_id,episodes_total,info/grad_time_ms,node_ip,info/sample_peak_throughput
1292,174491.016,False,362.69999999999675,73.02857142857142,0.4844854243323645,0.7665769170620821,0.9259243867522571,397.014,1338.2,17124,zack-XPS-15-9560,17124,0.001,17124,1576698653,13,3,0.3901541233062744,13,-1052.599999999998,2019-12-18_11-50-53,5.466262578964233,5.466262578964233,14336,-458.3228571428575,17124,a9b21437e7334a98a7a8412aedf56ff3,35,7.669,10.142.78.137,3370.664
1325,172794.305,False,362.69999999999675,73.21052631578948,0.48326161981593974,0.7583518670529145,0.9240662458229177,394.51,1339.1,18449,zack-XPS-15-9560,18449,0.001,18449,1576698653,14,3,0.3982522487640381,14,-1052.599999999998,2019-12-18_11-50-53,5.8645148277282715,5.8645148277282715,14336,-468.17368421052674,18449,a9b21437e7334a98a7a8412aedf56ff3,38,7.75,10.142.78.137,3394.336
1244,177205.322,False,362.69999999999675,73.07317073170732,0.48211218934654715,0.7510529312807243,0.9221162069613756,395.052,1341.5,19693,zack-XPS-15-9560,19693,0.001,19693,1576698654,15,3,0.38407182693481445,15,-1052.599999999998,2019-12-18_11-50-54,6.248586654663086,6.248586654663086,14336,-451.8195121951226,19693,a9b21437e7334a98a7a8412aedf56ff3,41,7.57,10.142.78.137,3395.759
1350,176807.346,False,362.69999999999675,73.23255813953489,0.48137268384826104,0.7465436932595314,0.9209591611770228,394.872,1346.8,21043,zack-XPS-15-9560,21043,0.001,21043,1576698654,16,2,0.39442920684814453,16,-1052.599999999998,2019-12-18_11-50-54,6.6430158615112305,6.6430158615112305,14336,-456.24651162790764,21043,a9b21437e7334a98a7a8412aedf56ff3,43,7.617,10.142.78.137,3410.722
1328,177194.561,False,362.69999999999675,73.3695652173913,0.48038445132169727,0.7402812837480637,0.9194061504382331,394.305,1342.8,22371,zack-XPS-15-9560,22371,0.001,22371,1576698654,17,3,0.39998769760131836,17,-1052.599999999998,2019-12-18_11-50-54,7.043003559112549,7.043003559112549,14336,-455.85000000000076,22371,a9b21437e7334a98a7a8412aedf56ff3,46,7.578,10.142.78.137,3405.481
1321,176691.237,False,362.69999999999675,73.44897959183673,0.47950963646388656,0.7346787461749459,0.9180997593844679,394.286,1342.2,23692,zack-XPS-15-9560,23692,0.001,23692,1576698655,18,3,0.4081730842590332,18,-1052.599999999998,2019-12-18_11-50-55,7.451176643371582,7.451176643371582,14336,-467.7387755102049,23692,a9b21437e7334a98a7a8412aedf56ff3,49,7.596,10.142.78.137,3404.132
1590,177323.594,False,362.69999999999675,73.43137254901961,0.4790700479621813,0.7312380848839581,0.9176005727032929,401.13,1380.8,25282,zack-XPS-15-9560,25282,0.001,25282,1576698655,19,2,0.4419572353363037,19,-1052.599999999998,2019-12-18_11-50-55,7.893133878707886,7.893133878707886,14336,-471.1470588235304,25282,a9b21437e7334a98a7a8412aedf56ff3,51,7.787,10.142.78.137,3442.278
1339,176821.884,False,362.69999999999675,73.38888888888889,0.47853456112062354,0.7265255577265529,0.9169916558443423,397.374,1360.3,26621,zack-XPS-15-9560,26621,0.001,26621,1576698656,20,3,0.42101407051086426,20,-1052.599999999998,2019-12-18_11-50-56,8.31414794921875,8.31414794921875,14336,-477.372222222223,26621,a9b21437e7334a98a7a8412aedf56ff3,54,7.693,10.142.78.137,3423.223
1166,175285.757,False,362.69999999999675,73.3859649122807,0.47791650891915693,0.7221813020542609,0.9161199667170545,392.643,1334.8,27787,zack-XPS-15-9560,27787,0.001,27787,1576698656,21,3,0.36519312858581543,21,-1052.599999999998,2019-12-18_11-50-56,8.679341077804565,8.679341077804565,14336,-464.994736842106,27787,a9b21437e7334a98a7a8412aedf56ff3,57,7.615,10.142.78.137,3399.523
1408,176188.825,False,362.69999999999675,73.52542372881356,0.4775575081096571,0.7194971518969394,0.9156854744895052,394.465,1336.3,29195,zack-XPS-15-9560,29195,0.001,29195,1576698656,22,2,0.42203831672668457,22,-1052.599999999998,2019-12-18_11-50-56,9.10137939453125,9.10137939453125,14336,-464.5288135593229,29195,a9b21437e7334a98a7a8412aedf56ff3,59,7.584,10.142.78.137,3387.627
1272,175388.679,False,362.69999999999675,73.64516129032258,0.47702790687963836,0.7157230677775905,0.9149649191724604,394.423,1334.3,30467,zack-XPS-15-9560,30467,0.001,30467,1576698657,23,3,0.39000868797302246,23,-1052.599999999998,2019-12-18_11-50-57,9.491388082504272,9.491388082504272,14336,-473.4548387096783,30467,a9b21437e7334a98a7a8412aedf56ff3,62,7.608,10.142.78.137,3382.919
1346,177737.933,False,362.69999999999675,73.78461538461538,0.4765438802745886,0.7122239230608172,0.9143025273843025,394.853,1336.4,31813,zack-XPS-15-9560,31813,0.001,31813,1576698657,24,3,0.4018058776855469,24,-1052.599999999998,2019-12-18_11-50-57,9.89319396018982,9.89319396018982,14336,-475.5784615384624,31813,a9b21437e7334a98a7a8412aedf56ff3,65,7.519,10.142.78.137,3384.547
1180,175921.7,False,362.69999999999675,73.7910447761194,0.47619369521943516,0.7099990835510899,0.913769163445179,393.314,1330.0,32993,zack-XPS-15-9560,32993,0.001,32993,1576698658,25,2,0.36916160583496094,25,-1052.599999999998,2019-12-18_11-50-58,10.26235556602478,10.26235556602478,14336,-471.47611940298594,32993,a9b21437e7334a98a7a8412aedf56ff3,67,7.56,10.142.78.137,3381.524
1343,174558.033,False,362.69999999999675,73.94285714285714,0.4757051179515894,0.7068410953235604,0.9130208078646721,393.955,1329.3,34336,zack-XPS-15-9560,34336,0.001,34336,1576698658,26,3,0.4015066623687744,26,-1052.599999999998,2019-12-18_11-50-58,10.663862228393555,10.663862228393555,14336,-476.312857142858,34336,a9b21437e7334a98a7a8412aedf56ff3,70,7.615,10.142.78.137,3374.243
1365,175207.367,False,362.69999999999675,73.95890410958904,0.47528384574363025,0.7039608238251045,0.9123931042094734,396.178,1333.0,35701,zack-XPS-15-9560,35701,0.001,35701,1576698658,27,3,0.4222254753112793,27,-1052.599999999998,2019-12-18_11-50-58,11.086087703704834,11.086087703704834,14336,-486.2479452054802,35701,a9b21437e7334a98a7a8412aedf56ff3,73,7.608,10.142.78.137,3364.647
1401,174700.785,False,362.69999999999675,73.85333333333334,0.47501670328322526,0.7021529840764884,0.9120370833756666,396.527,1341.0,37102,zack-XPS-15-9560,37102,0.001,37102,1576698659,28,2,0.4124772548675537,28,-1052.599999999998,2019-12-18_11-50-59,11.498564958572388,11.498564958572388,14336,-482.4346666666675,37102,a9b21437e7334a98a7a8412aedf56ff3,75,7.676,10.142.78.137,3381.861
1125,170944.639,False,363.69999999999663,73.88461538461539,0.4746348089276267,0.69961844525095,0.9114925506093255,392.645,1294.5,38227,zack-XPS-15-9560,38227,0.001,38227,1576698659,29,3,0.4026515483856201,29,-1052.599999999998,2019-12-18_11-50-59,11.901216506958008,11.901216506958008,14336,-470.65641025641116,38227,a9b21437e7334a98a7a8412aedf56ff3,78,7.573,10.142.78.137,3296.875
