episode_reward_max,training_iteration,episode_reward_min,info/grad_time_ms,episode_len_mean,time_since_restore,hostname,sampler_perf/mean_inference_ms,experiment_id,node_ip,info/sample_peak_throughput,date,timesteps_since_restore,time_this_iter_s,info/opt_peak_throughput,info/update_time_ms,episodes_this_iter,timesteps_this_iter,info/num_steps_sampled,timesteps_total,sampler_perf/mean_processing_ms,info/opt_samples,sampler_perf/mean_env_wait_ms,done,timestamp,episode_reward_mean,pid,info/sample_time_ms,iterations_since_restore,episodes_total,time_total_s,info/num_steps_trained
-243.0000000000039,1,-856.0000000000006,38.314,71.0,0.5922322273254395,zack-XPS-15-9560,0.8329846965732859,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2630.321,2019-12-18_12-19-21,1456,0.5922322273254395,38001.908,0.003,2,1456,1456,1456,0.5994625945589436,1456.0,1.2004043332379848,False,1576700361,-549.5000000000023,15694,553.545,1,2,0.5922322273254395,1456
-239.1999999999982,2,-863.3000000000008,23.18,74.4,1.0066843032836914,zack-XPS-15-9560,0.7759307587724015,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2913.75,2019-12-18_12-19-21,2796,0.41445207595825195,60311.522,0.003,3,1340,2796,2796,0.5627638494919163,1398.0,1.1122965489964194,False,1576700361,-529.9600000000007,15694,479.794,2,5,1.0066843032836914,2796
161.59999999999616,3,-863.3000000000008,18.002,73.375,1.4041774272918701,zack-XPS-15-9560,0.7443830149320798,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3005.754,2019-12-18_12-19-22,4055,0.3974931240081787,75083.117,0.002,3,1259,4055,4055,0.5446445827011521,1351.667,1.0681520852812934,False,1576700362,-398.21250000000134,15694,449.693,3,8,1.4041774272918701,4055
161.59999999999616,4,-863.3000000000008,15.777,73.0,1.8522350788116455,zack-XPS-15-9560,0.7311824184961611,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3094.567,2019-12-18_12-19-22,5532,0.4480576515197754,87660.952,0.002,2,1477,5532,5532,0.539617351858975,1383.0,1.0544568097991658,False,1576700362,-448.37000000000137,15694,446.912,4,10,1.8522350788116455,5532
161.59999999999616,5,-1058.7,14.231,72.84615384615384,2.2613017559051514,zack-XPS-15-9560,0.7150766520225635,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3147.272,2019-12-18_12-19-23,6887,0.40906667709350586,96786.334,0.002,3,1355,6887,6887,0.5336088004121546,1377.4,1.0378913194136787,False,1576700363,-448.13846153846305,15694,437.649,5,13,2.2613017559051514,6887
161.59999999999616,6,-1058.7,13.124,73.4375,2.672673463821411,zack-XPS-15-9560,0.7035275244172876,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3185.242,2019-12-18_12-19-23,8255,0.41137170791625977,104834.741,0.002,3,1368,8255,8255,0.5291162250527697,1375.833,1.0252078026228386,False,1576700363,-461.7000000000019,15694,431.94,6,16,2.672673463821411,8255
161.59999999999616,7,-1058.7,12.428,73.77777777777777,3.097590684890747,zack-XPS-15-9560,0.697504861186006,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3213.16,2019-12-18_12-19-23,9665,0.42491722106933594,111094.222,0.002,2,1410,9665,9665,0.5264114950747809,1380.714,1.0192019670365933,False,1576700363,-483.08333333333496,15694,429.706,7,18,3.097590684890747,9665
162.1999999999964,8,-1064.800000000002,11.988,73.61904761904762,3.5449676513671875,zack-XPS-15-9560,0.6901254278183256,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3246.038,2019-12-18_12-19-24,11186,0.44737696647644043,116640.524,0.002,3,1521,11186,11186,0.5237545187543865,1398.25,1.0134739545610771,False,1576700364,-478.5952380952399,15694,430.756,8,21,3.5449676513671875,11186
162.1999999999964,9,-1064.800000000002,11.686,73.79166666666667,3.9729607105255127,zack-XPS-15-9560,0.6844703815093617,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3250.24,2019-12-18_12-19-24,12560,0.4279930591583252,119420.264,0.002,3,1374,12560,12560,0.5216678763528746,1395.556,1.0087436265523386,False,1576700364,-500.32500000000147,15694,429.37,9,24,3.9729607105255127,12560
162.1999999999964,10,-1064.800000000002,11.238,73.66666666666667,4.378879547119141,zack-XPS-15-9560,0.6797898948237244,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3242.606,2019-12-18_12-19-25,13822,0.40591883659362793,122992.08,0.002,3,1262,13822,13822,0.5196768931650076,1382.2,1.0041456942276603,False,1576700365,-509.0444444444457,15694,426.262,10,27,4.378879547119141,13822
162.1999999999964,11,-1064.800000000002,8.195,73.72413793103448,4.815277099609375,zack-XPS-15-9560,0.6771448430430137,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3323.585,2019-12-18_12-19-25,15206,0.4363975524902344,167783.874,0.002,2,1384,15206,15206,0.5185975344629564,1375.0,1.0017870296240352,False,1576700365,-519.0689655172426,15694,413.71,11,29,4.815277099609375,15206
162.1999999999964,12,-1064.800000000002,8.17,74.0,5.25191855430603,zack-XPS-15-9560,0.6737039564405163,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3311.732,2019-12-18_12-19-26,16571,0.4366414546966553,168613.329,0.002,3,1365,16571,16571,0.5173503997373788,1377.5,0.9989419514583591,False,1576700366,-518.8031250000013,15694,415.945,12,32,5.25191855430603,16571
162.1999999999964,13,-1064.800000000002,8.099,73.85714285714286,5.642596483230591,zack-XPS-15-9560,0.6706014928424547,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3309.231,2019-12-18_12-19-26,17799,0.39067792892456055,169708.796,0.002,3,1228,17799,17799,0.5159532759975007,1374.4,0.9958421638681719,False,1576700366,-495.1514285714299,15694,415.323,13,35,5.642596483230591,17799
162.1999999999964,14,-1064.800000000002,8.02,73.6842105263158,6.076502561569214,zack-XPS-15-9560,0.668078563109754,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3278.746,2019-12-18_12-19-26,19105,0.43390607833862305,169232.952,0.002,3,1306,19105,19105,0.5147953869437936,1357.3,0.9932280900594572,False,1576700366,-491.38157894736975,15694,413.969,14,38,6.076502561569214,19105
162.1999999999964,15,-1064.800000000002,8.029,73.65,6.518759727478027,zack-XPS-15-9560,0.6667320467417371,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3250.2,2019-12-18_12-19-27,20449,0.4422571659088135,168915.535,0.002,2,1344,20449,20449,0.5141656820043035,1356.2,0.9917318067017107,False,1576700367,-484.1700000000013,15694,417.267,15,40,6.518759727478027,20449
162.1999999999964,16,-1064.800000000002,8.321,73.51162790697674,7.020719528198242,zack-XPS-15-9560,0.6651963354829196,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3166.779,2019-12-18_12-19-27,21746,0.5019598007202148,162127.791,0.002,3,1297,21746,21746,0.5141253131696416,1349.1,0.9901917091873181,False,1576700367,-481.3023255813967,15694,426.016,16,43,7.020719528198242,21746
162.1999999999964,17,-1064.800000000002,8.338,73.52173913043478,7.607396125793457,zack-XPS-15-9560,0.6645895835552666,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3059.287,2019-12-18_12-19-28,23192,0.5866765975952148,162232.717,0.002,3,1446,23192,23192,0.5145882862791413,1352.7,0.9905155903702133,False,1576700368,-488.15652173913173,15694,442.162,17,46,7.607396125793457,23192
162.1999999999964,18,-1064.800000000002,8.298,73.6875,8.080429077148438,zack-XPS-15-9560,0.66442062045421,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2994.081,2019-12-18_12-19-28,24502,0.47303295135498047,160479.018,0.002,2,1310,24502,24502,0.5148909378241409,1331.6,0.9908161595135221,False,1576700368,-482.3312500000014,15694,444.744,18,48,8.080429077148438,24502
162.1999999999964,19,-1064.800000000002,8.298,73.84313725490196,8.55710482597351,zack-XPS-15-9560,0.6643117787843413,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2953.508,2019-12-18_12-19-29,25839,0.47667574882507324,160019.315,0.002,3,1337,25839,25839,0.5154955526651712,1327.9,0.9913661502513312,False,1576700369,-472.582352941178,15694,449.601,19,51,8.55710482597351,25839
162.1999999999964,20,-1064.800000000002,8.468,73.81481481481481,9.032187938690186,zack-XPS-15-9560,0.6642655287661928,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2953.525,2019-12-18_12-19-29,27300,0.4750831127166748,159162.416,0.002,3,1461,27300,27300,0.5161606623748608,1347.8,0.9920505910415677,False,1576700369,-478.92592592592763,15694,456.336,20,54,9.032187938690186,27300
162.1999999999964,21,-1064.800000000002,8.552,73.82142857142857,9.514788389205933,zack-XPS-15-9560,0.6643706862573889,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2898.66,2019-12-18_12-19-30,28564,0.48260045051574707,156189.49,0.002,2,1264,28564,28564,0.5166285674419689,1335.8,0.9925478341549848,False,1576700370,-477.8642857142873,15694,460.834,21,56,9.514788389205933,28564
162.1999999999964,22,-1064.800000000002,8.778,73.83050847457628,10.011245250701904,zack-XPS-15-9560,0.6645733002327145,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2902.845,2019-12-18_12-19-30,30115,0.4964568614959717,154287.287,0.002,3,1551,30115,30115,0.5173921639440454,1354.4,0.9935580262006241,False,1576700370,-479.8694915254253,15694,466.577,22,59,10.011245250701904,30115
162.1999999999964,23,-1064.800000000002,8.919,73.85483870967742,10.476960182189941,zack-XPS-15-9560,0.6647645953268414,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2902.952,2019-12-18_12-19-31,31557,0.4657149314880371,154262.785,0.002,3,1442,31557,31557,0.5181231729371021,1375.8,0.9945598296896255,False,1576700371,-485.0435483870983,15694,473.931,23,62,10.476960182189941,31557
162.1999999999964,24,-1064.800000000002,8.853,73.75384615384615,10.913238525390625,zack-XPS-15-9560,0.6649067130061621,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2906.16,2019-12-18_12-19-31,32887,0.4362783432006836,155668.803,0.002,3,1330,32887,32887,0.5187625644873319,1378.2,0.9953700534574896,False,1576700371,-492.58000000000163,15694,474.234,24,65,10.913238525390625,32887
162.1999999999964,25,-1064.800000000002,9.0,73.74626865671642,11.378937244415283,zack-XPS-15-9560,0.6649725556740285,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2921.989,2019-12-18_12-19-32,34370,0.4656987190246582,154680.794,0.002,2,1483,34370,34370,0.5191921937546197,1392.1,0.995928010912814,False,1576700372,-488.3417910447778,15694,476.422,25,67,11.378937244415283,34370
162.1999999999964,26,-1064.800000000002,8.765,73.74285714285715,11.822880506515503,zack-XPS-15-9560,0.6650532171622198,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2951.681,2019-12-18_12-19-32,35644,0.4439432621002197,158566.236,0.002,3,1274,35644,35644,0.519778645495203,1389.8,0.996655334481706,False,1576700372,-495.2171428571446,15694,470.85,26,70,11.822880506515503,35644
162.1999999999964,27,-1064.800000000002,8.787,73.8082191780822,12.287495136260986,zack-XPS-15-9560,0.6651790142315319,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2995.594,2019-12-18_12-19-33,36930,0.4646146297454834,156338.87,0.002,3,1286,36930,36930,0.5203598324292718,1373.8,0.9973166226493935,False,1576700373,-490.52054794520706,15694,458.607,27,73,12.287495136260986,36930
162.1999999999964,28,-1064.800000000002,8.992,73.72,12.76462435722351,zack-XPS-15-9560,0.6652698857058791,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3018.08,2019-12-18_12-19-33,38349,0.4771292209625244,153989.913,0.002,2,1419,38349,38349,0.5207518036677067,1384.7,0.9977885742264034,False,1576700373,-492.1653333333348,15694,458.802,28,75,12.76462435722351,38349
162.1999999999964,29,-1064.800000000002,8.885,73.64102564102564,13.247766971588135,zack-XPS-15-9560,0.6654993771878294,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,3001.516,2019-12-18_12-19-34,39632,0.483142614364624,155232.049,0.002,3,1283,39632,39632,0.5213512548105257,1379.3,0.9984934255214694,False,1576700374,-495.5320512820527,15694,459.535,29,78,13.247766971588135,39632
162.1999999999964,30,-1064.800000000002,8.828,73.75308641975309,13.728093385696411,zack-XPS-15-9560,0.6657961360398155,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2959.331,2019-12-18_12-19-34,40916,0.48032641410827637,154241.168,0.002,3,1284,40916,40916,0.5219330675006317,1361.6,0.9991913946767824,False,1576700374,-486.24074074074224,15694,460.104,30,81,13.728093385696411,40916
162.1999999999964,31,-1064.800000000002,8.867,73.71428571428571,14.215301036834717,zack-XPS-15-9560,0.6660682777037635,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2997.078,2019-12-18_12-19-35,42367,0.48720765113830566,155675.844,0.002,3,1451,42367,42367,0.5225202597564629,1380.3,0.9999729544387096,False,1576700375,-492.19880952381106,15694,460.549,31,84,14.215301036834717,42367
162.1999999999964,32,-1064.800000000002,8.751,73.74418604651163,14.704915285110474,zack-XPS-15-9560,0.6662386269109379,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2998.867,2019-12-18_12-19-35,43909,0.48961424827575684,157621.062,0.002,2,1542,43909,43909,0.5229108335116557,1379.4,1.0005597235113666,False,1576700375,-491.32674418604796,15694,459.974,32,86,14.704915285110474,43909
162.1999999999964,33,-1064.800000000002,8.801,73.70786516853933,15.234711647033691,zack-XPS-15-9560,0.666543903974056,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2971.754,2019-12-18_12-19-36,45415,0.5297963619232178,157464.795,0.002,3,1506,45415,45415,0.5235626081077888,1385.8,1.0015922817104173,False,1576700376,-499.0898876404509,15694,466.324,33,89,15.234711647033691,45415
162.1999999999964,34,-1064.800000000002,8.856,73.71739130434783,15.762867450714111,zack-XPS-15-9560,0.6669836032883385,f4b7d30cb8ed4b94a4fe6ba854259c2c,10.142.78.137,2891.883,2019-12-18_12-19-36,46636,0.5281558036804199,155250.913,0.002,3,1221,46636,46636,0.5242389443560564,1374.9,1.0026620615964783,False,1576700376,-501.6695652173928,15694,475.434,34,92,15.762867450714111,46636
