episodes_total,experiment_id,info/sample_peak_throughput,episode_reward_mean,timesteps_this_iter,timesteps_total,time_since_restore,done,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,timesteps_since_restore,info/num_steps_sampled,timestamp,sampler_perf/mean_env_wait_ms,episode_len_mean,info/num_steps_trained,episode_reward_max,info/opt_peak_throughput,time_total_s,iterations_since_restore,episode_reward_min,info/opt_samples,sampler_perf/mean_processing_ms,episodes_this_iter,node_ip,date,sampler_perf/mean_inference_ms,hostname,training_iteration,pid,time_this_iter_s
36,db15454e139b45a4977ecbeb588ffe50,3375.042,-289.56666666666683,823,10638,3.430565357208252,False,239.849,4.691,0.001,10638,10638,1576686987,0.41568979280020435,71.36111111111111,10638,382.09999999999894,172551.156,3.430565357208252,13,-636.5999999999999,809.5,0.3249683320953467,3,10.142.78.137,2019-12-18_08-36-27,0.67404028243703,zack-XPS-15-9560,13,30967,0.24495410919189453
39,db15454e139b45a4977ecbeb588ffe50,3407.284,-295.5615384615386,889,11527,3.6890554428100586,False,242.158,4.778,0.001,11527,11527,1576686988,0.41367250474433914,71.6923076923077,11527,382.09999999999894,172705.281,3.6890554428100586,14,-641.5000000000005,825.1,0.32311039348207155,3,10.142.78.137,2019-12-18_08-36-28,0.6670326061563375,zack-XPS-15-9560,14,30967,0.25849008560180664
41,db15454e139b45a4977ecbeb588ffe50,3458.774,-292.30487804878055,917,12444,3.9463396072387695,False,244.306,4.896,0.001,12444,12444,1576686988,0.41255227287129237,71.73170731707317,12444,382.09999999999894,172593.335,3.9463396072387695,15,-641.5000000000005,845.0,0.32201892089376766,2,10.142.78.137,2019-12-18_08-36-28,0.6628064141616115,zack-XPS-15-9560,15,30967,0.25728416442871094
44,db15454e139b45a4977ecbeb588ffe50,3481.267,-292.77954545454554,872,13316,4.201354265213013,False,245.686,4.973,0.001,13316,13316,1576686988,0.4111099682175378,71.79545454545455,13316,382.09999999999894,172003.366,4.201354265213013,16,-641.5000000000005,855.3,0.32059968113746445,3,10.142.78.137,2019-12-18_08-36-28,0.6569827295064936,zack-XPS-15-9560,16,30967,0.25501465797424316
47,db15454e139b45a4977ecbeb588ffe50,3457.487,-297.36808510638303,886,14202,4.480656147003174,False,249.285,4.992,0.001,14202,14202,1576686988,0.4099734757888752,71.76595744680851,14202,382.09999999999894,172656.791,4.480656147003174,17,-641.5000000000005,861.9,0.31954094282374146,3,10.142.78.137,2019-12-18_08-36-28,0.651952825334892,zack-XPS-15-9560,17,30967,0.27930188179016113
50,db15454e139b45a4977ecbeb588ffe50,3482.352,-293.192,814,15016,4.722397327423096,False,250.405,5.04,0.001,15016,15016,1576686989,0.40889247328460643,71.6,15016,382.09999999999894,173014.99,4.722397327423096,18,-641.5000000000005,872.0,0.3185538862173907,3,10.142.78.137,2019-12-18_08-36-29,0.6473421906232109,zack-XPS-15-9560,18,30967,0.24174118041992188
53,db15454e139b45a4977ecbeb588ffe50,3423.878,-277.8358490566038,686,15702,4.952991008758545,False,246.679,4.878,0.001,15702,15702,1576686989,0.407708690307986,71.28301886792453,15702,382.09999999999894,173160.938,4.952991008758545,19,-641.5000000000005,844.6,0.317536356081163,3,10.142.78.137,2019-12-18_08-36-29,0.6431935599305947,zack-XPS-15-9560,19,30967,0.23059368133544922
56,db15454e139b45a4977ecbeb588ffe50,3417.075,-278.8178571428572,814,16516,5.199879169464111,False,247.375,4.855,0.001,16516,16516,1576686989,0.4066084045166559,71.30357142857143,16516,382.09999999999894,174112.979,5.199879169464111,20,-641.5000000000005,845.3,0.3165935306810684,3,10.142.78.137,2019-12-18_08-36-29,0.6394154442764075,zack-XPS-15-9560,20,30967,0.2468881607055664
59,db15454e139b45a4977ecbeb588ffe50,3376.657,-276.15593220338985,788,17304,5.439740180969238,False,244.858,4.771,0.001,17304,17304,1576686989,0.4055666960382546,71.13559322033899,17304,382.09999999999894,173285.091,5.439740180969238,21,-641.5000000000005,826.8,0.3156991779464782,3,10.142.78.137,2019-12-18_08-36-29,0.63590383645396,zack-XPS-15-9560,21,30967,0.23986101150512695
62,db15454e139b45a4977ecbeb588ffe50,3394.6,-273.60967741935497,853,18157,5.696009159088135,False,245.743,4.841,0.001,18157,18157,1576686990,0.404649593869356,70.56451612903226,18157,382.09999999999894,172308.954,5.696009159088135,22,-641.5000000000005,834.2,0.3148990290904787,3,10.142.78.137,2019-12-18_08-36-30,0.6326856973278465,zack-XPS-15-9560,22,30967,0.2562689781188965
65,db15454e139b45a4977ecbeb588ffe50,3360.153,-274.7769230769231,881,19038,5.9835381507873535,False,249.989,4.847,0.002,19038,19038,1576686990,0.4039275389151325,70.64615384615385,19038,382.09999999999894,173316.642,5.9835381507873535,23,-641.5000000000005,840.0,0.3142031787212461,3,10.142.78.137,2019-12-18_08-36-30,0.6299274049412569,zack-XPS-15-9560,23,30967,0.28752899169921875
67,db15454e139b45a4977ecbeb588ffe50,3355.159,-276.42686567164185,859,19897,6.237445592880249,False,249.467,4.903,0.002,19897,19897,1576686990,0.40347446945458465,70.73134328358209,19897,382.09999999999894,170713.241,6.237445592880249,24,-641.5000000000005,837.0,0.3137573675008355,2,10.142.78.137,2019-12-18_08-36-30,0.6282157443363555,zack-XPS-15-9560,24,30967,0.2539074420928955
70,db15454e139b45a4977ecbeb588ffe50,3332.121,-280.15000000000003,826,20723,6.483555793762207,False,248.46,4.782,0.002,20723,20723,1576686990,0.40282081107422957,70.81428571428572,20723,382.09999999999894,173143.606,6.483555793762207,25,-641.5000000000005,827.9,0.3131267322739672,3,10.142.78.137,2019-12-18_08-36-30,0.6257634349171066,zack-XPS-15-9560,25,30967,0.246110200881958
73,db15454e139b45a4977ecbeb588ffe50,3347.831,-283.5890410958904,925,21648,6.742613077163696,False,248.878,4.763,0.002,21648,21648,1576686991,0.40226069635914063,70.75342465753425,21648,382.09999999999894,174941.135,6.742613077163696,26,-641.5000000000005,833.2,0.31257096029767356,3,10.142.78.137,2019-12-18_08-36-31,0.6234576337277875,zack-XPS-15-9560,26,30967,0.25905728340148926
76,db15454e139b45a4977ecbeb588ffe50,3378.51,-281.45921052631576,859,22507,6.990668296813965,False,245.818,4.689,0.001,22507,22507,1576686991,0.4017424116106882,70.73684210526316,22507,382.09999999999894,177099.47,6.990668296813965,27,-641.5000000000005,830.5,0.3120574355227193,3,10.142.78.137,2019-12-18_08-36-31,0.6212683395800053,zack-XPS-15-9560,27,30967,0.24805521965026855
79,db15454e139b45a4977ecbeb588ffe50,3382.948,-282.0784810126582,869,23376,7.245542287826538,False,247.122,4.69,0.001,23376,23376,1576686991,0.4012788926903173,70.75949367088607,23376,382.09999999999894,178254.189,7.245542287826538,28,-641.5000000000005,836.0,0.31159114284336614,3,10.142.78.137,2019-12-18_08-36-31,0.6192049395249692,zack-XPS-15-9560,28,30967,0.25487399101257324
81,db15454e139b45a4977ecbeb588ffe50,3437.679,-283.29629629629625,884,24260,7.495194435119629,False,248.947,4.761,0.001,24260,24260,1576686992,0.40099605365920427,70.8395061728395,24260,382.09999999999894,179742.084,7.495194435119629,29,-641.5000000000005,855.8,0.3112963593324406,2,10.142.78.137,2019-12-18_08-36-32,0.6178773282602447,zack-XPS-15-9560,29,30967,0.24965214729309082
84,db15454e139b45a4977ecbeb588ffe50,3427.923,-281.3190476190476,768,25028,7.736612558364868,False,248.314,4.837,0.001,25028,25028,1576686992,0.40055067965645935,70.86904761904762,25028,382.09999999999894,175983.337,7.736612558364868,30,-641.5000000000005,851.2,0.3108514364731157,3,10.142.78.137,2019-12-18_08-36-32,0.6159834130390591,zack-XPS-15-9560,30,30967,0.24141812324523926
87,db15454e139b45a4977ecbeb588ffe50,3403.806,-270.1827586206897,760,25788,7.986135721206665,False,249.25,4.859,0.001,25788,25788,1576686992,0.40011755409283994,70.83908045977012,25788,382.09999999999894,174586.893,7.986135721206665,31,-641.5000000000005,848.4,0.31042803009920805,3,10.142.78.137,2019-12-18_08-36-32,0.6142076545872992,zack-XPS-15-9560,31,30967,0.24952316284179688
90,db15454e139b45a4977ecbeb588ffe50,3397.444,-268.8944444444445,841,26629,8.243338108062744,False,249.364,4.834,0.001,26629,26629,1576686992,0.39970656850709746,70.95555555555555,26629,382.09999999999894,175247.915,8.243338108062744,32,-641.5000000000005,847.2,0.3100299270532147,3,10.142.78.137,2019-12-18_08-36-32,0.6125634549114718,zack-XPS-15-9560,32,30967,0.2572023868560791
93,db15454e139b45a4977ecbeb588ffe50,3429.409,-267.5838709677419,800,27429,8.48402452468872,False,244.678,4.825,0.001,27429,27429,1576686993,0.399298032513202,70.93548387096774,27429,382.09999999999894,173912.036,8.48402452468872,33,-641.5000000000005,839.1,0.3096476426824248,3,10.142.78.137,2019-12-18_08-36-33,0.6109825110759489,zack-XPS-15-9560,33,30967,0.24068641662597656
